,Time,Filled Orders,Discarded Orders,Revenue,Costs
0,0,1,0,60,119.50117275867404
1,1,2,0,120,128.50351827602213
2,2,3,0,180,127.00703655204427
3,3,4,0,240,115.01172758674045
4,4,4,1,240,109.01641862143664
5,5,3,1,180,107.51993689745879
6,6,0,3,0,119.51993689745879
7,7,0,2,0,113.51993689745879
8,8,0,1,0,107.51993689745879
9,9,0,1,0,107.51993689745879
10,10,2,0,120,110.5222824148069
11,11,3,0,180,109.02580069082904
12,12,0,2,0,121.02580069082904
13,13,3,0,180,107.52931896685118
14,14,3,1,180,112.03283724287333
15,15,0,2,0,118.03283724287333
16,16,3,0,180,104.53635551889548
17,17,3,1,180,109.03987379491761
18,18,0,2,0,115.03987379491761
19,19,3,0,180,101.54339207093976
20,20,3,1,180,106.04691034696191
21,21,0,2,0,112.04691034696191
22,22,2,1,120,115.04925586431
23,23,3,0,180,107.55277414033215
24,24,0,2,0,119.55277414033215
25,25,3,0,180,106.0562924163543
26,26,3,1,180,110.55981069237644
27,27,0,2,0,116.55981069237644
28,28,3,0,180,103.06332896839858
29,29,3,1,180,107.56684724442073
30,30,0,2,0,113.56684724442073
31,31,3,0,180,100.07036552044288
32,32,2,1,120,115.07271103779097
33,33,0,2,0,121.07271103779097
34,34,3,0,180,107.57622931381312
35,35,3,1,180,112.07974758983526
36,36,0,2,0,118.07974758983526
37,37,3,0,180,104.5832658658574
38,38,3,1,180,109.08678414187955
39,39,0,2,0,115.08678414187955
40,40,3,0,180,101.5903024179017
41,41,3,1,180,106.09382069392383
42,42,0,2,0,112.09382069392383
43,43,2,1,120,115.09616621127194
44,44,3,0,180,107.59968448729408
45,45,0,2,0,119.59968448729408
46,46,3,0,180,106.10320276331623
47,47,3,1,180,110.60672103933837
48,48,0,2,0,116.60672103933837
49,49,3,0,180,103.11023931536052
50,50,3,1,180,107.61375759138265
51,51,0,2,0,113.61375759138265
52,52,3,0,180,100.1172758674048
53,53,2,1,120,115.1196213847529
54,54,0,2,0,121.1196213847529
55,55,3,0,180,107.62313966077505
56,56,3,1,180,112.12665793679719
57,57,0,2,0,118.12665793679719
58,58,3,0,180,104.63017621281934
59,59,3,1,180,109.13369448884148
60,60,0,2,0,115.13369448884148
61,61,3,0,180,101.63721276486362
62,62,3,1,180,106.14073104088577
63,63,0,2,0,112.14073104088577
64,64,2,1,120,115.14307655823387
65,65,3,0,180,107.646594834256
66,66,0,2,0,119.646594834256
67,67,3,0,180,106.15011311027816
68,68,3,1,180,110.6536313863003
69,69,0,2,0,116.6536313863003
70,70,3,0,180,103.15714966232245
71,71,3,1,180,107.66066793834459
72,72,0,2,0,113.66066793834459
73,73,3,0,180,100.16418621436674
74,74,2,1,120,115.16653173171483
75,75,0,2,0,121.16653173171483
76,76,3,0,180,107.67005000773698
77,77,3,1,180,112.17356828375912
78,78,0,2,0,118.17356828375912
79,79,3,0,180,104.67708655978127
80,80,3,1,180,109.18060483580341
81,81,0,2,0,115.18060483580341
82,82,3,0,180,101.68412311182556
83,83,3,1,180,106.1876413878477
84,84,0,2,0,112.1876413878477
85,85,2,1,120,115.1899869051958
86,86,3,0,180,107.69350518121794
87,87,0,2,0,119.69350518121794
88,88,3,0,180,106.19702345724009
89,89,3,1,180,110.70054173326224
90,90,0,2,0,116.70054173326224
91,91,3,0,180,103.20406000928438
92,92,3,1,180,107.70757828530652
93,93,0,2,0,113.70757828530652
94,94,3,0,180,100.21109656132866
95,95,2,1,120,115.21344207867676
96,96,0,2,0,121.21344207867676
97,97,3,0,180,107.71696035469891
98,98,3,1,180,112.22047863072106
99,99,0,2,0,118.22047863072106
