,Time,Filled Orders,Discarded Orders,Revenue,Costs
0,0,1,0,60,119.82518097559908
1,1,2,0,120,129.47554292679726
2,2,3,0,180,128.95108585359452
3,3,4,0,240,118.25180975599085
4,4,3,1,180,108.72735268278811
5,5,0,3,0,120.72735268278811
6,6,1,1,60,113.55253365838719
7,7,2,1,120,108.20289560958535
8,8,0,2,0,114.20289560958535
9,9,0,1,0,108.20289560958535
10,10,0,1,0,108.20289560958535
11,11,0,1,0,108.20289560958535
12,12,1,1,60,113.02807658518444
13,13,2,0,120,101.67843853638261
14,14,0,2,0,113.67843853638261
15,15,1,1,60,112.5036195119817
16,16,2,0,120,101.15398146317986
17,17,0,2,0,113.15398146317986
18,18,1,1,60,111.97916243877896
19,19,2,0,120,100.62952438997712
20,20,0,2,0,112.62952438997712
21,21,1,1,60,111.4547053655762
22,22,2,0,120,100.10506731677438
23,23,0,2,0,112.10506731677438
24,24,1,1,60,110.93024829237346
25,25,1,1,60,115.75542926797254
26,26,0,1,0,115.75542926797254
27,27,2,0,120,104.40579121917071
28,28,1,1,60,115.2309721947698
29,29,0,2,0,121.2309721947698
30,30,2,0,120,103.88133414596797
31,31,0,2,0,115.88133414596797
32,32,1,1,60,114.70651512156705
33,33,2,0,120,103.35687707276523
34,34,0,2,0,115.35687707276523
35,35,1,1,60,114.18205804836431
36,36,2,0,120,102.83241999956248
37,37,0,2,0,114.83241999956248
38,38,1,1,60,113.65760097516156
39,39,2,0,120,102.30796292635974
40,40,0,2,0,114.30796292635974
41,41,1,1,60,113.13314390195882
42,42,2,0,120,101.78350585315698
43,43,0,2,0,113.78350585315698
44,44,1,1,60,112.60868682875608
45,45,2,0,120,101.25904877995424
46,46,0,2,0,113.25904877995424
47,47,1,1,60,112.08422975555332
48,48,2,0,120,100.7345917067515
49,49,0,2,0,112.7345917067515
50,50,1,1,60,111.55977268235058
51,51,2,0,120,100.21013463354875
52,52,0,2,0,112.21013463354875
53,53,1,1,60,111.03531560914783
54,54,1,1,60,115.86049658474693
55,55,0,1,0,115.86049658474693
56,56,2,0,120,104.51085853594509
57,57,1,1,60,115.33603951154417
58,58,0,2,0,121.33603951154417
59,59,2,0,120,103.98640146274235
60,60,0,2,0,115.98640146274235
61,61,1,1,60,114.81158243834143
62,62,2,0,120,103.4619443895396
63,63,0,2,0,115.4619443895396
64,64,1,1,60,114.28712536513868
65,65,2,0,120,102.93748731633686
66,66,0,2,0,114.93748731633686
67,67,1,1,60,113.76266829193594
68,68,2,0,120,102.4130302431341
69,69,0,2,0,114.4130302431341
70,70,1,1,60,113.2382112187332
71,71,2,0,120,101.88857316993136
72,72,0,2,0,113.88857316993136
73,73,1,1,60,112.71375414553044
74,74,2,0,120,101.36411609672862
75,75,0,2,0,113.36411609672862
76,76,1,1,60,112.1892970723277
77,77,2,0,120,100.83965902352587
78,78,0,2,0,112.83965902352587
79,79,1,1,60,111.66483999912495
80,80,2,0,120,100.31520195032313
81,81,0,2,0,112.31520195032313
82,82,1,1,60,111.14038292592221
83,83,1,1,60,115.96556390152129
84,84,0,1,0,115.96556390152129
85,85,2,0,120,104.61592585271947
86,86,1,1,60,115.44110682831855
87,87,0,2,0,121.44110682831855
88,88,2,0,120,104.09146877951672
89,89,0,2,0,116.09146877951672
90,90,1,1,60,114.9166497551158
91,91,2,0,120,103.56701170631398
92,92,0,2,0,115.56701170631398
93,93,1,1,60,114.39219268191306
94,94,2,0,120,103.04255463311122
95,95,0,2,0,115.04255463311122
96,96,1,1,60,113.86773560871032
97,97,2,0,120,102.51809755990848
98,98,0,2,0,114.51809755990848
99,99,1,1,60,113.34327853550757
